2014/1/2,2606
2014/1/3,3724
2014/1/6,4344
2014/1/7,4876
2014/1/8,5177
2014/1/9,6704
2014/1/10,7079
2014/1/13,8997
2014/1/14,11494
2014/1/15,17617
2014/1/16,3151
2014/1/17,3458
2014/1/20,3379
2014/1/21,3637
2014/1/22,3856
2014/1/23,4150
2014/1/24,4258
2014/1/27,5108
2014/2/5,6066
2014/2/6,6053
2014/2/7,6106
2014/2/10,6327
2014/2/11,6736
2014/2/12,7362
2014/2/13,7723
2014/2/14,8680
2014/2/17,10638
2014/2/18,13842
2014/2/19,18820
2014/2/20,570
2014/2/21,958
2014/2/24,892
2014/2/25,1044
2014/2/26,1590
2014/2/27,1817
2014/3/3,1703
2014/3/4,1739
2014/3/5,2198
2014/3/6,3281
2014/3/7,3681
2014/3/10,3556
2014/3/11,4075
2014/3/12,4170
2014/3/13,5930
2014/3/14,6192
2014/3/17,8468
2014/3/18,12113
2014/3/19,17665
2014/3/20,786
2014/3/21,927
2014/3/24,1057
2014/3/25,1346
2014/3/26,1832
2014/3/27,2344
2014/3/28,2448
2014/3/31,2850
2014/4/1,3247
2014/4/2,3561
2014/4/3,3701
2014/4/7,4029
2014/4/8,4477
2014/4/9,5267
2014/4/10,6292
2014/4/11,7741
2014/4/14,9809
2014/4/15,14263
2014/4/16,20183
2014/4/17,3759
2014/4/18,3819
2014/4/21,3884
2014/4/22,4015
2014/4/23,4315
2014/4/24,4625
2014/4/25,4407
2014/4/28,5189
2014/4/29,5459
2014/4/30,5967
2014/5/2,5546
2014/5/5,5534
2014/5/6,6041
2014/5/7,5593
2014/5/8,6203
2014/5/9,5999
2014/5/12,6311
2014/5/13,6872
2014/5/14,8048
2014/5/15,8453
2014/5/16,9631
2014/5/19,11939
2014/5/20,15160
2014/5/21,20138
2014/5/22,742
2014/5/23,808
2014/5/26,1004
2014/5/27,1076
2014/5/28,1231
2014/5/29,1421
2014/5/30,1682
2014/6/3,1821
2014/6/4,1840
2014/6/5,1979
2014/6/6,1992
2014/6/9,2080
2014/6/10,2775
2014/6/11,3091
2014/6/12,3540
2014/6/13,4269
2014/6/16,6243
2014/6/17,9334
2014/6/18,15164
2014/6/19,632
2014/6/20,1127
2014/6/23,1409
2014/6/24,1503
2014/6/25,1533
2014/6/26,1569
2014/6/27,1671
2014/6/30,1944
2014/7/1,2055
2014/7/2,2378
2014/7/3,2539
2014/7/4,2595
2014/7/7,2656
2014/7/8,3040
2014/7/9,3501
2014/7/10,4091
2014/7/11,6545
2014/7/14,7671
2014/7/15,10219
2014/7/16,15445
2014/7/17,5768
2014/7/18,6183
2014/7/21,6181
2014/7/22,6318
2014/7/24,6456
2014/7/25,7089
2014/7/28,7239
2014/7/29,7582
2014/7/30,7857
2014/7/31,8432
2014/8/1,8775
2014/8/4,8712
2014/8/5,9581
2014/8/6,9795
2014/8/7,10138
2014/8/8,10770
2014/8/11,10869
2014/8/12,11432
2014/8/13,10966
2014/8/14,11561
2014/8/15,12236
2014/8/18,14689
2014/8/19,15344
2014/8/20,18806
2014/8/21,457
2014/8/22,896
2014/8/25,1326
2014/8/26,1662
2014/8/27,1819
2014/8/28,2055
2014/8/29,2383
2014/9/1,2563
2014/9/2,3633
2014/9/3,3574
2014/9/4,3976
2014/9/5,4579
2014/9/9,4880
2014/9/10,6225
2014/9/11,7226
2014/9/12,9355
2014/9/15,11502
2014/9/16,16938
2014/9/17,19351
2014/9/18,401
2014/9/19,1273
2014/9/22,2064
2014/9/23,2355
2014/9/24,2277
2014/9/25,2655
2014/9/26,2905
2014/9/29,3213
2014/9/30,3523
2014/10/1,3652
2014/10/2,3955
2014/10/3,4313
2014/10/6,4982
2014/10/7,5885
2014/10/8,6808
2014/10/9,8110
2014/10/13,12048
2014/10/14,15275
2014/10/15,24571
2014/10/16,5423
2014/10/17,5766
2014/10/20,5828
2014/10/21,5959
2014/10/22,5226
2014/10/23,5411
2014/10/24,5900
2014/10/27,5864
2014/10/28,5662
2014/10/29,5863
2014/10/30,5994
2014/10/31,6035
2014/11/3,6482
2014/11/4,6780
2014/11/5,6968
2014/11/6,7411
2014/11/7,7360
2014/11/10,8002
2014/11/11,8500
2014/11/12,9473
2014/11/13,9595
2014/11/14,9946
2014/11/17,12159
2014/11/18,14607
2014/11/19,18670
2014/11/20,547
2014/11/21,746
2014/11/24,859
2014/11/25,1012
2014/11/26,1117
2014/11/27,1366
2014/11/28,1468
2014/12/1,1856
2014/12/2,2652
2014/12/3,2509
2014/12/4,2744
2014/12/5,2972
2014/12/8,3256
2014/12/9,4166
2014/12/10,6027
2014/12/11,7124
2014/12/12,8048
2014/12/15,9862
2014/12/16,13614
2014/12/17,24432
2014/12/18,435
2014/12/19,1014
2014/12/22,1317
2014/12/23,1487
2014/12/24,1808
2014/12/25,1883
2014/12/26,2143
2014/12/27,2270
2014/12/29,2625
2014/12/30,2657
2014/12/31,2808
2015/1/5,3323
2015/1/6,3651
2015/1/7,4036
2015/1/8,3792
2015/1/9,4361
2015/1/12,4696
2015/1/13,4800
2015/1/14,5750
2015/1/15,6248
2015/1/16,7649
2015/1/19,9483
2015/1/20,13391
2015/1/21,18092
2015/1/22,3751
2015/1/23,3904
2015/1/26,4091
2015/1/27,4506
2015/1/28,5040
2015/1/29,5024
2015/1/30,5472
2015/2/2,6287
2015/2/3,6819
2015/2/4,7418
2015/2/5,7977
2015/2/6,8037
2015/2/9,8497
2015/2/10,8604
2015/2/11,8681
2015/2/12,9716
2015/2/13,11818
2015/2/24,16574
2015/2/25,489
2015/2/26,912
2015/3/2,1284
2015/3/3,1363
2015/3/4,2003
2015/3/5,2122
2015/3/6,2664
2015/3/9,2831
2015/3/10,3783
2015/3/11,4573
2015/3/12,5949
2015/3/13,7365
2015/3/16,8703
2015/3/17,10986
2015/3/18,20929
2015/3/19,748
2015/3/20,990
2015/3/23,977
2015/3/24,1126
2015/3/25,1433
2015/3/26,1646
2015/3/27,2313
2015/3/30,2501
2015/3/31,2744
2015/4/1,3225
2015/4/2,3607
2015/4/7,3849
2015/4/8,4247
2015/4/9,4664
2015/4/10,5217
2015/4/13,7019
2015/4/14,9532
2015/4/15,21451
2015/4/16,5290
2015/4/17,5532
2015/4/20,5799
2015/4/21,6136
2015/4/22,6301
2015/4/23,8217
2015/4/24,8382
2015/4/27,9401
2015/4/28,9761
2015/4/29,9690
2015/4/30,10473
2015/5/4,11130
2015/5/5,11369
2015/5/6,11730
2015/5/7,11454
2015/5/8,12101
2015/5/11,12807
2015/5/12,13087
2015/5/13,13770
2015/5/14,16165
2015/5/15,17285
2015/5/18,17812
2015/5/19,18268
2015/5/20,26221
2015/5/21,778
2015/5/22,884
2015/5/25,1107
2015/5/26,1422
2015/5/27,1476
2015/5/28,1823
2015/5/29,2198
2015/6/1,3104
2015/6/2,3182
2015/6/3,3809
2015/6/4,4801
2015/6/5,5030
2015/6/8,5209
2015/6/9,6385
2015/6/10,7014
2015/6/11,7869
2015/6/12,8658
2015/6/15,10446
2015/6/16,15790
2015/6/17,21439
2015/6/18,327
2015/6/22,680
2015/6/23,989
2015/6/24,1056
2015/6/25,1210
2015/6/26,1465
2015/6/29,2227
2015/6/30,2107
2015/7/1,2363
2015/7/2,2458
2015/7/3,2830
2015/7/6,3647
2015/7/7,3687
2015/7/8,5873
2015/7/9,6572
2015/7/13,7502
2015/7/14,10055
2015/7/15,15099
2015/7/16,6129
2015/7/17,5854
2015/7/20,6245
2015/7/21,6024
2015/7/22,5407
2015/7/23,5273
2015/7/24,5375
2015/7/27,5762
2015/7/28,5974
2015/7/29,6304
2015/7/30,6036
2015/7/31,5899
2015/8/3,6220
2015/8/4,6176
2015/8/5,6327
2015/8/6,7182
2015/8/7,7711
2015/8/10,7996
2015/8/11,8555
2015/8/12,8785
2015/8/13,9508
2015/8/14,9988
2015/8/17,12596
2015/8/18,16687
2015/8/19,22874
2015/8/20,480
2015/8/21,1035
2015/8/24,1301
2015/8/25,1519
2015/8/26,1542
2015/8/27,1621
2015/8/28,1814
2015/8/31,2062
2015/9/1,2400
2015/9/2,2704
2015/9/3,3012
2015/9/4,3309
2015/9/7,3788
2015/9/8,4531
2015/9/9,4893
